student_id,q1,q2,q3,q4,q5
1007810317,"What change is being made to Section 63(c)(7) regarding the sunset provision?","Until what date does the appropriation for the Defense Production Act remain available according to section 30004?","What role does the Secretary of the Interior play in the process of commencing mining activities on a previously issued coal lease?","How much funding is allocated for the development, production, and integration of Navy and Air Force long-range anti-ship missiles under SEC. 20004(a)?","How many lease sales is the Secretary of the Interior required to hold in the Gulf of Mexico region in the year 2040?"
1006693589,"What is the reference price for grain sorghum starting with the 2025 crop year according to Section 10301?","What is the expiration date for the authority to complete competitive bidding for spectrum reallocation according to the recent amendment to the Communications Act?","What is the main focus of Section 70104(c)(i)?","What is the focus of section 30001 in relation to the Bureau of Consumer Financial Protection?","What is the rate of annual price increase for reference prices beginning with the 2031 crop year?"
1012027487,"What percentage of benchmark revenues will be used for the years 2025 to 2031 according to Section 10305?","What is the amount allocated for the modernization of Department of Defense childcare center staffing under SEC. 20001(a)?","What change was made to section 5(e)(6)(C)(iv)(I) regarding utility allowances?","What does the title specify about amendments or repeals when not expressly provided otherwise?","When do the standard deduction enhancements take effect for taxable years?"
1005902917,"What is the amount of money appropriated for base operating support costs under the Marine Corps according to SEC. 20001(a)?","What types of land are excluded from the resources specified in the context?","What is the amount allocated for Army exercises and operations in the Western Pacific area of operations under SEC. 20005(a)?","What is the primary responsibility of the Assistant Secretary as outlined in Section 40002?","When do the amendments to reduced rates become effective?"
1008763606,"What information is provided in Section 70103(a)(3)(C)(iii)(II)?","What percentage is allocated to a two-person household according to Section 10101?","What year has the funding for the methane emissions and waste reduction incentive program been extended to according to the amendment in SEC. 60012?","What is the specified amount of funding provided for the procurement and acquisition of long-range unmanned aircraft?","What is the new expiration year for the base acres program as extended in subsection (d)(3)(A)?"
1008124708,"What is included in the definition of a \"State declared disaster\" according to the amendment of Section 165(h)?","What does SEC. 60018 entail in terms of funding for environmental and climate data collection?","What conditions allow the Secretary to terminate an early exemption according to Section 10102?","What is the significance of 12 U.S.C. 5497(a)(2)(A)(iii) in relation to the funding cap for the Bureau of Consumer Financial Protection?","What is the primary focus or subject of Section 70106(a)(1)?"
1006861120,"What is the significance or purpose of Section 70103(a)(2)?","What types of balances are transferred according to section 30003(d)?","What is the minimum amount of aggregate qualified business income required for a taxpayer to be considered applicable?","What does SEC. 60002 address regarding the Greenhouse Gas Reduction Fund?","What relocation expense deduction applies to intelligence community employees or new appointees when they move due to a change in assignment?"
1007100236,"What change has been made to section 165(h)(5) regarding casualty loss coverage?","What changes were made to subsection (l) of section 274 regarding transportation benefits and disallowed expenses?","What does the term \"noncontiguous State\" refer to according to Section 10102?","What specific changes does Public Law 117–169 introduce regarding the funding for the Green and Resilient Retrofit Program in section 30002?","What is the impact of rescinding the Greenhouse Gas Reduction Fund according to SEC. 60002?"
1012838770,"What specific requirements are outlined in Section 70104(b)(B)(i)?","What change in ARC-CO payment margins is introduced for the 2025–2031 crop years according to Section 10305?","What is specified in Section 70102(b)(1)?","What is the responsibility of the Secretary of the Interior regarding advance coal royalties paid under a lease prior to the amendment of the Act?","What is described in Section 70103(a)(3)(C)(iii)(I)?"
1006678301,"What does SEC. 60005 entail regarding the funding initially allocated to address air pollution at schools?","What year does subsection (a) extend price loss coverage to in the PLC program?","What is the definition of a \"coal lease\" in the context of agreements involving the United States and the Bureau of Land Management?","What type of lands are excluded from being considered as resources in the context of preservation?","What action can farm owners take regarding allocated base acres according to Section 10302?"
1006921244,"What is outlined in Section 70001(a)?","What does Section 40010 of the legislation do with unobligated aviation technology funds?","What is the new authorized investment percentage in privatized military housing projects under SEC. 20001(b)?","What is the subject or purpose of Section 70105(b)(3)?","What is the purpose of the $10,000,000 appropriation to the Inspector General of the Department of Defense as specified in SEC. 20012?"
1007977646,"What does Section 10305 extend in terms of agriculture policy?","Who is considered a \"qualified individual\" for the temporary senior deduction?","What is the new corn reference price effective beginning with the 2025 crop year according to Section 10301?","What are the implications of rescinding funds related to the implementation of environmental review, as mentioned in SEC. 60023?","What does SEC. 60006 address in terms of financing for the low emissions electricity program?"
1007746753,"What does SEC. 60015 address in terms of the funding related to low-embodied carbon labeling for construction materials?","What will be the Federal and State share percentages if a State's payment error rate is less than six percent starting in fiscal year 2028, according to Section 10105?","What information must be included on the return for a qualifying child?","What does Section 10101 regulate in relation to the thrifty food plan?","What is the amount appropriated for defense cybersecurity programs of DARPA under SEC. 20006?"
1007936003,"How many oil and gas lease sales must the Secretary of the Interior conduct in Utah each fiscal year according to the Mineral Leasing Act?","What is outlined in Section 70104(a)(2)?","What is the starting date for the application of the amendments to transportation fringe benefits?","What will happen to the balances in the Securities and Exchange Commission Reserve Fund on October 1, 2025?","What is described in Section 70102(b)(2)?"
1006833802,"What is the amount appropriated under SEC. 20007 for the development, procurement, and integration of Air Force long-range strike aircraft?","What is the main purpose of section 30002 in the Act approved on August 16, 2022?","What is the new standard deduction amount for single filers after the amendment to section 63(c)?","What change was made to Section 132(f)(2)(C) concerning fringe benefits?","What is the amount appropriated under SEC. 20007 to increase C-130J production?"
1008038767,"When do the amendments made by this section become applicable?","What amount has been appropriated for the improvement of the budgetary and programmatic infrastructure of the Office of the Secretary of Defense under SEC. 20006?","What is the scope of coal leases affected by the coal royalty amendments under the Mineral Leasing Act?","What is the specific section referred to in the Consumer Financial Protection Act of 2010 regarding the funding cap for the Bureau of Consumer Financial Protection?","What are the unobligated balances related to in SEC. 60019 regarding the rescission of a grant program?"
1008336034,"What steps must be completed before the Secretary of the Interior can conduct an oil and gas lease sale?","Who is eligible to participate according to Section 10108?","What calendar year was originally mentioned in clause (ii) of subparagraph (B) before it was updated to 'calendar year 2025'?","What condition allows an individual to be exempt from paragraph (2) according to Section 10102?","What action does Section 40008 take regarding the unobligated balances from sections 40001–40004 of Public Law 117–169?"
1003814571,"How much funding is allocated to the Defense Health Program under SEC. 20001(a)?","What is the relation between Section 21F(g)(2) and the technical and conforming amendments mentioned in section 30003(b)?","What is included in the calculation of 'modified adjusted gross income'?","What change has been made to Section 67(g) regarding the sunset date for miscellaneous itemized deduction limitations?","What is the effective date for the amendments made to the casualty loss provisions?"
1008072185,"What defines an active qualified trade or business for a taxpayer?","What is the allocated budget for accelerating domestic uranium enrichment centrifuge deployment for defense purposes under SEC. 20004(a)?","What is the end date for when the Securities and Exchange Commission can expend amounts from the Reserve Fund according to the transition provision in section 30003(c)?","What percentage is used to define a one-person allotment for a one-person household according to Section 10101?","How much funding has been appropriated for the procurement of Army tracked combat transport vehicles under SEC. 20010?"
1005342693,"What change is made to the effective period for reduced tax rates under Section 1(j)?","What is the expiration date for the limitation on itemized deductions as stated in the context?","What amount has been appropriated for United States Indo-Pacific Command military exercises under SEC. 20005(a)?","What does SEC. 60017 pertain to in terms of funding for ESA recovery plans?","What changes have been made to the base year for reference prices in Section 10304 regarding marketing loan calculations?"
1012135093,"What is the context of the rescission of funding mentioned in SEC. 60007?","What is the allocated budget for the development, procurement, and integration of Marine Corps unmanned combat aircraft under SEC. 20007?","What year does the amendment change '2018' to in subparagraph (B)(ii)?","What is the main focus or purpose of Section 70101(a)(1)?","What amendment is made to section 199A(g)(2)(B) regarding specified cooperatives?"
1007743658,"What is the responsibility of the Secretary of the Interior regarding the timing of processes described in subparagraph (A)?","How much funding is specified for the procurement and management of Waterways Commerce Cutters in the special appropriation?","What is the main focus or purpose outlined in Section 70101(b)?","What is the focus of Section 70104(b)(A)(ii)?","What is the new amount specified in subparagraphs (A)(i) and (B)(ii) after the amendment?"
1007927790,"What is the allocated amount for the pilot program on OPN-8 maritime spares and repair rotable pool for amphibious ships under SEC. 20010?","What does section 30003(a) propose to amend in section 4 of the Securities Exchange Act of 1934, codified at 15 U.S.C. 78d?","What does Section 15 of the Internal Revenue Code of 1986 not apply to in the context of this provision?","What does SEC. 60023 pertain to in terms of the unobligated balances for environmental review implementation funds?","What happens to the Federal and State share if a State's payment error rate is ten percent or above according to Section 10105?"
1012859168,"What is the appropriation amount designated in Section 40003 for section 44745 of title 49, United States Code?","How much funding is appropriated under SEC. 20007 for the acceleration of F-16 electronic warfare capability installation?","How is the $1,400 refundable credit amount adjusted for taxable years beginning after 2024?","What is the specific content or requirement outlined in Section 70103(a)(3)(C)(ii)?","What is the allocated amount under SEC. 20007 to enhance V-22 nacelle and improve reliability and safety?"
1005012102,"What does Section 10101 define regarding a five-person household?","What is the amount allocated for NNSA Phase 1 studies under SEC. 20008(b)?","What is the allocated budget for the development, procurement, and integration of Marine Corps amphibious vehicles under SEC. 20010?","What is the allocated budget under SEC. 20003(a) for developing, procuring, and integrating military space-based sensors?","What is addressed in Section 70102(a)(1)?"
1012098267,"What does SEC. 60011 pertain to in terms of funding for environmental product declaration assistance?","What is the deadline for the Secretary of the Interior to hold a coal lease sale following the enactment of the Act?","What is the amount allocated for the procurement and integration of additional F-15EX conformal fuel tanks under SEC. 20007?","What is outlined in Section 70105(b)(1)?","How much funding is allocated for the production of Advanced Aerial Sensors under SEC. 20007?"
1007967381,"What is the Federal share of payment if a State's error rate is seven percent according to Section 10105?","What condition must be met for the subparagraph to apply to a married taxpayer?","What is the exception to paragraph (2) regarding California Indians as outlined in Section 10102?","What does SEC. 60001 mention about the funding for clean heavy-duty vehicles under the Clean Air Act?","What change has been made to the wheat reference price effective beginning with the 2025 crop year according to Section 10301?"
1012046803,"By what date must the Secretary of the Interior hold at least one lease sale in the Gulf of Mexico region under the offshore lease schedule?","What does Section 10101 authorize regarding cost adjustments for specific U.S. states?","How much funding has been appropriated for Marine Corps exercises and operations in the Western Pacific area of operations under SEC. 20005(a)?","What amount has been appropriated for the restoration and modernization costs under the Marine Corps Barracks 2030 initiative according to SEC. 20001(a)?","What specific amendment does Section 10103 make to section 5(k)(4)(B) regarding assistance for households?"
1005106332,"What change was made to Section 132(f)(4) regarding bicycle commuting reimbursements?","What is the percentage rate at which the $6,000 amount is reduced for a taxpayer's modified adjusted gross income exceeding $150,000 in the case of a joint return?","What is the amount of funding specified for the procurement of light and medium icebreaking cutters and related equipment?","What amendment was made to Section 68 regarding the reduction of itemized deductions?","What does SEC. 60021 state about the unobligated balances for low-carbon materials funding for Federal buildings?"
1008126421,"What is the amount of funding specified for the procurement and acquisition of rotary-wing aircraft to enhance maritime border security?","What is the allocated funding amount for the expansion of the Multi-Service Advanced Capability Hypersonic Test Bed program under SEC. 20003(a)?","What is the allocated budget under SEC. 20005(a) for the development of naval small craft capabilities?","What change was made to Section 165(h)(5)(A) regarding casualty loss limitations?","How much funding is appropriated for the procurement of anti-lock braking systems for Army wheeled transport vehicles under SEC. 20010?"
1007733909,"What is the main purpose outlined in Section 70104(a)(1)?","What is the role of ineligible members' resources in household allotment determinations according to Section 10108?","What does SEC. 60010 pertain to in terms of funding for greenhouse gas corporate reporting?","What action must the Secretary of the Interior take if a lease sale under paragraph (1) is canceled, delayed, or deferred?","What subsection of Section 4 of the Securities and Exchange Act of 1934 is being struck according to section 30003(a) amendments?"
1007894879,"What is the new heading for Section 67(g) after the amendment?","What is the primary subject of SEC. 60022?","What does section 30003(e) state about the availability of the Securities and Exchange Commission Reserve Fund for obligation or expenditure?","When do the amendments made by this section become applicable to taxable years?","What information is outlined in Section 70102(c)?"
1005592351,"What does the term \"covered band\" refer to in the context of spectrum auctions as defined by Section 40002?","How much funding is appropriated for the design and construction of a Missile Defense Agency missile instrumentation range safety ship under SEC. 20003(b)?","How much funding is allocated for the Defense Community Infrastructure Program under SEC. 20001(a)?","How much funding is allocated for surveillance and reconnaissance capabilities under SEC. 20005(a) for the United States Indo-Pacific Command?","What is the maximum allowable additional percentage for a household with nine or more persons according to Section 10101?"
1012829290,"What is the effective date for the amendments to moving expense provisions?","How many oil and gas lease sales must the Secretary of the Interior conduct each fiscal year in Colorado according to the Mineral Leasing Act?","What is specified in Section 70105(c)?","What event triggers the closure of the Securities and Exchange Commission Reserve Fund according to section 30003(e)?","What does SEC. 60015 pertain to concerning funding for construction materials?"
1004428452,"What funding measures are being rescinded to address air pollution as outlined in SEC. 60004?","What year is now used as the baseline for inflation indexing of the standard deduction after the recent amendment?","What legislation applies to rights-of-way in offshore leases mentioned in this context?","What is the purpose of the $500,000,000 appropriation under SEC. 20007?","What is specified in Section 70103(a)(3)(C)(iv)(I)?"
1012136680,"How much money is permanently rescinded from the CHIPS Act funds under Section 40011?","What percentage is defined for a seven-person household according to Section 10101?","What is the purpose of the Act mentioned in section 30002 regarding the rescission of funds for the Green and Resilient Retrofit Program?","What age range does Section 10102 exempt from the application of paragraph (2)?","What specific requirements are outlined in Section 70104(c)(3)?"
1006174042,"How much funding is allocated to prevent the retirement of F-15E aircraft under SEC. 20007?","What is the new authorized investment percentage for privatized military housing projects under SEC. 20001(b)?","What is the new range for offshore royalty rates as amended in Section 8(a)(1)(C) of the Outer Continental Shelf Lands Act?","What is the amount appropriated for the Defense Activity for Non-Traditional Education Support’s Online Academic Skills Course program under SEC. 20001(a)?","What is covered under Section 70001(b)?"
1006835613,"What happens to the original leasing provisions when a subsection that amended or repealed them is nullified?","What is the allocated budget for the procurement of Polar Security Cutters and related equipment to ensure the Coast Guard's presence in polar regions?","What is the amount appropriated under SEC. 20001(a) to increase the Temporary Lodging Expense Allowance?","What is the significance of Section 70104(b)(B)(ii)?","What change was made to Paragraph (1) in the amendment?"
1007958453,"What change does Section 40009 make to the amount transferred to the Travel Promotion Fund according to the amendment in the Travel Promotion Act of 2009?","What type of land is specifically excluded from the resources mentioned in the context?","What is the minimum amount of funding that must be obligated each fiscal year from 2025 to 2029 for the operation of the International Space Station according to Section 40005?","What does SEC. 60009 of the provided clause pertain to in terms of funding and its intended purpose?","How much funding is allocated in Section 40003 for the acquisition and installation of weather systems?"
1012085039,"What is the amount appropriated for constructing a new air route traffic control center in Section 40003?","How much funding is appropriated for Department of Defense Impact Aid payments to local educational agencies under section 2008 of title 10, United States Code according to SEC. 20001(a)?","What amount has been appropriated under SEC. 20008(b) for the modernization of primary capability according to the National Nuclear Security Administration Act?","What is the amount of appropriations designated for surveillance and reconnaissance capabilities for United States Africa Command under SEC. 20005(a)?","When does the transition period begin according to section 30003(c) transition provision?"
1007715572,"What year was established as the new inflation adjustment baseline for transportation benefits in place of 1998?","What does section 30002 of the Act codified at 136 Stat. 2027 address concerning the Green and Resilient Retrofit Program?","What is the total amount of funding provided for shore facility projects according to the special appropriation?","What is the basis for determining uniform allotments according to Section 10101?","What happened to the amounts in the Securities and Exchange Commission Reserve Fund before the date of enactment of this Act according to section 30003(c)?"
1007658241,"When is the earliest date that the Secretary can re-evaluate the market baskets of the thrifty food plan according to Section 10101?","Until what year have the producer election provisions been extended according to the amendment in Section 10303?","What is a requirement for individuals to participate in SNAP according to Section 10108?","What is the basis for determining the applicable State share for fiscal year 2029 and beyond?","What are the unobligated balances of funds initially allocated for in section 179 of title 23, United States Code?"
1004931032,"What are the specific requirements outlined in Section 70103(a)(3)(C)(iv)(II)?","What is the allocated funding amount for acquiring autonomous maritime systems according to the special appropriation?","What are the implications of rescinding funding for environmental and climate data collection under SEC. 60018?","What is the amount allocated for improved ground-based missile defense radars under SEC. 20003(b)?","What is the amount appropriated for the development of infrastructure within the area of operations of the United States Indo-Pacific Command under SEC. 20005(a)?"
1007112722,"What is the new phrasing for the heading in Section 165(h)(5) after the amendment regarding casualty loss limitations?","What is the primary focus or requirement outlined in Section 70105(b)(2)(A)?","What does Section 10101 prevent the Secretary from doing in relation to the thrifty food plan re-evaluation?","What law was repealed in relation to offshore royalty provisions?","How much funding is allocated for Army depot modernization and capacity enhancement under SEC. 20010?"
1006927337,"What condition must be met for subparagraph (A)(ii) to apply in a noncontiguous State?","What is the amount appropriated for the expansion of small unmanned vessels integration under SEC. 20002?","What happens to a law that is amended or repealed when the repealing subsection is removed?","What must a project sponsor submit to the Council if they intend to pay a fee for an environmental review preparation under SEC. 60026?","When do the amendments made by this section begin to apply to taxable years?"
1007731518,"What does Section 10201 of Public Law 117-169 do with the unobligated forestry balances?","What is the purpose of the \"Office of Commercial Space Transportation Launch and Reentry Licensing and Permitting Fund\" established by Section 40004?","What is one of the eligibility criteria for farms to receive additional allocation according to Section 10302?","What does SEC. 60022 address regarding the unobligated balances for GSA emerging and sustainable technologies?","What is the amount allocated for the procurement and management of Offshore Patrol Cutters?"
1007070820,"What does Section 10302 measure in terms of agricultural land use from 2019 to 2023?","When does the transfer of remaining amounts take effect according to section 30003(d)?","What specific date is being removed from Paragraph (1) in the amendment?","What is the new heading text replacing '2018 THROUGH 2025'?","How much funding is appropriated for Air Force facilities sustainment, restoration, and modernization under SEC. 20010?"
1006071518,"What changes were made to the subsection designations in section 4 of the Securities and Exchange Act of 1934 according to section 30003(a)?","What is the allocated budget for the pilot program on OPN-8 maritime spares and repair rotable pool under SEC. 20010?","What does section 30002(a) specify regarding the funds made available for the Green and Resilient Retrofit Program?","How much funding is appropriated for Marine Corps readiness and capabilities under SEC. 20010?","What updates are provided for under Section 10101?"
1006681226,"How many oil and gas lease sales must the Secretary of the Interior conduct in Oklahoma each fiscal year according to the Mineral Leasing Act?","What is the allocated budget for telecommunications infrastructure modernization and systems upgrades according to Section 40003?","What is the effect of restoring offshore royalty law on previously amended or repealed legal provisions?","What amendment was made to Section 32912 of title 49, United States Code, according to Section 40006?","What amount of funds is appropriated for radar systems replacement in Section 40003?"
1003870554,"What impact does the rescission of funding have on the Environmental Protection Agency's ability to conduct efficient, accurate, and timely reviews?","How much funding is appropriated for the development of advanced rotary-wing engines under SEC. 20010?","How much funding is allocated for spares and repairs to maintain the mission capability of Air Force aircraft under SEC. 20010?","What are the amounts of $400 and $1,000 adjusted for in years beginning after 2026?","What is the amount allocated for national security space launch infrastructure under SEC. 20003(a)?"
1006212634,"How many oil and gas lease sales must the Secretary of the Interior conduct in New Mexico each fiscal year according to the Mineral Leasing Act?","What is the deadline for Secretaries of each military department to submit a detailed spending plan by project according to SEC. 20013(b)?","What is the new range for offshore royalty rates as amended in Section 8(a)(1)(H) of the Outer Continental Shelf Lands Act?","What is the treatment of an omission of a correct social security number according to the provided context?","What is specified in Section 70103(a)(3)(C)(ii)?"
1006675545,"What section of the Clean Air Act discusses the rescission of funding for the methane emissions and waste reduction incentive program?","What does SEC. 60005 address with regards to unobligated balances and funding for air pollution at schools?","What is the amount allocated for increased depot maintenance and shipyard maintenance activities under SEC. 20010?","What is the total amount of funding allocated for the procurement and management of Fast Response Cutters in the special appropriation?","What is the total amount of funding appropriated for the procurement of a high-performance Mars telecommunications orbiter as specified in Section 40005?"
